id,hash,name
ling-ling-restaurant-ithaca,81Z-hyEQ3m5s3iNjozHFxw,Ling Ling Restaurant
jasons-grocery-and-deli-ithaca,v4ACmVJr7ZXGP9uEbHfosw,Jason's Grocery & Deli
brew-22-coffee-and-espresso-ithaca,duQg3owiKQCfXt9vlZ9dBQ,Brew 22 Coffee & Espresso
pasta-vitto-ithaca,c7AOTmbdbIlHhLb-6A7FbQ,Pasta Vitto
sushi-osaka-ithaca,ZzA6l46CKDrHp7tQwV30GA,Sushi Osaka
friendlys-ithaca-2,9GCuUQec-Ugxh_dXSMPbfQ,Friendly's
the-range-ithaca,T5APSfj74xtlFHwDLifZSA,The Range
gimme-coffee-ithaca-4,L0qSDlHg_N7k1rENl6mtAA,Gimme Coffee
green-dragon-caf�-ithaca,pZ1AwTKioK_AuGSYSPevqQ,Green Dragon Caf�
the-terrace-restaurant-ithaca,wTWJIWQO5bLNAOjxu8AnBg,The Terrace Restaurant
dominos-pizza-ithaca-2,N3l2IfhyzfRMgKKSfeL7cg,Domino's Pizza
ithaca-apple-harvest-festival-ithaca,zU2kY64LV0Jkx8Tw6Z5_5A,Ithaca Apple Harvest Festival
mcdonalds-ithaca-4,0XEKxIjUAOCB_MSZSx_ong,McDonald's
tibetan-momo-bar-ithaca,o4n3uHSLcoWTxFXr8UdjDQ,Tibetan Momo Bar
frannys-food-truck-ithaca,9F2zRgWyn1srb9y4ZIg6Dg,Franny's Food Truck
taco-bell-ithaca,ShSe4B4BaLr-jBbxHc76Xw,Taco Bell
maxs-classic-american-grill-and-sports-bar-ithaca,CjJUp3KAs-zl1WCekVVngw,Max's Classic American Grill & Sports Bar
the-ivy-room-ithaca,UPMjT5GXoaODJYpmqe9Rxw,The Ivy Room
dappers-restaurant-ithaca,kwJTjT5uFuHi0pPTN-AsDA,Dapper's Restaurant
2nd-landing-cafe-ithaca,qDaEZVlcsvbqCc9ANRnl4g,2nd Landing Cafe
petes-cayuga-bar-ithaca,bl2Hb7TuKyzrPBzwZXSg4Q,Pete's Cayuga Bar
calios-ithaca,OXBbqI6LiXEJZHCREsxxnA,Calios
cup-o-jo-caf�-ithaca-2,IervTvJmvZztDTb-99wpOg,Cup O' Jo Caf�
razorback-bbq-ithaca,_vLyjI50m3eafiXnh87i0g,Razorback BBQ
brooktons-market-brooktondale,7_Ut4JrSFlivxPzTJvBrAQ,Brookton's Market
gimme-coffee-ithaca-7,_cHkmC0rhoTq7OgGkwEcWw,Gimme! Coffee
mcdonalds-ithaca,mMZjt4_dZj3qnVv2m3-lOg,McDonald's
stellas-barn-newfield,9RXOJZdog3RXGx0L5y1S6A,Stella's Barn
city-of-ithaca-ithaca,eLQ2YiRiZQMHNPfVh0XJiw,City of Ithaca
telluride-house-ithaca,yoo5SdF6sqng0DBNzQ3sAA,Telluride House
eleanors-place-ithaca,MJ5ghkxvmmxyVKPr-F4H4g,Eleanor's Place
goldies-ithaca,fkxuzBc1Ock3jwqlaCi8NQ,Goldie's
luna-inspired-street-food-ithaca-5,j3bVVPDYdyT4A317HcT1pA,Luna Inspired Street Food
sincredible-pastries-ithaca,pHWlbqLVwyWCnmfLmu3CsA,Sincredible Pastries
